epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,5009.74,0.47319,0.32491,0.88264,0.99474,0.94975,0.97446,0.90717,0.39547,0.23884,0.83834,0.000144124,0.000144124,0.000144124
112,5054.14,0.46805,0.32101,0.88057,0.99248,0.95287,0.97454,0.91027,0.38917,0.23892,0.8354,0.000140652,0.000140652,0.000140652
113,5098.4,0.47106,0.32323,0.8835,0.99358,0.95274,0.97529,0.90973,0.39034,0.23631,0.83733,0.000137181,0.000137181,0.000137181
114,5142.47,0.46816,0.32439,0.88348,0.99502,0.94993,0.97494,0.90769,0.38919,0.23623,0.83728,0.000133709,0.000133709,0.000133709
115,5186.84,0.46674,0.32042,0.8821,0.99471,0.95099,0.97484,0.90493,0.39791,0.23745,0.8378,0.000130238,0.000130238,0.000130238
116,5230.8,0.46661,0.31929,0.88162,0.99372,0.95143,0.9744,0.90464,0.40521,0.24191,0.83819,0.000126766,0.000126766,0.000126766
117,5274.87,0.46334,0.31784,0.8799,0.99174,0.9531,0.97497,0.90857,0.38956,0.23609,0.83691,0.000123294,0.000123294,0.000123294
118,5321.01,0.46564,0.31758,0.88237,0.99367,0.94995,0.97477,0.91004,0.39145,0.23701,0.8365,0.000119823,0.000119823,0.000119823
119,5365.18,0.46494,0.31868,0.88308,0.99375,0.95079,0.97501,0.90989,0.38938,0.23665,0.8369,0.000116351,0.000116351,0.000116351
120,5408.96,0.4654,0.31804,0.88109,0.99194,0.95397,0.97581,0.91077,0.38407,0.23389,0.83396,0.00011288,0.00011288,0.00011288
121,5453.25,0.46125,0.31422,0.87924,0.99166,0.95273,0.97602,0.91089,0.38502,0.23213,0.8334,0.000109408,0.000109408,0.000109408
122,5496.72,0.45792,0.31443,0.8795,0.99241,0.9526,0.97571,0.91225,0.37877,0.23086,0.83373,0.000105936,0.000105936,0.000105936
123,5541.16,0.45981,0.31528,0.87912,0.99406,0.9515,0.97691,0.91282,0.37999,0.2304,0.83356,0.000102465,0.000102465,0.000102465
124,5585.73,0.45859,0.31331,0.88072,0.99389,0.95191,0.97696,0.9124,0.3806,0.23011,0.8332,9.89932e-05,9.89932e-05,9.89932e-05
125,5630.05,0.46004,0.31554,0.88171,0.99246,0.95167,0.97689,0.9109,0.3906,0.23284,0.83626,9.55216e-05,9.55216e-05,9.55216e-05
126,5675.77,0.45745,0.31102,0.87938,0.99151,0.9535,0.97704,0.91062,0.38869,0.23205,0.83642,9.205e-05,9.205e-05,9.205e-05
127,5719.96,0.45581,0.31035,0.87913,0.99279,0.95196,0.97734,0.91301,0.37975,0.23007,0.83414,8.85784e-05,8.85784e-05,8.85784e-05
128,5764.27,0.45302,0.30816,0.88053,0.98919,0.95531,0.97707,0.91147,0.38405,0.23026,0.83543,8.51068e-05,8.51068e-05,8.51068e-05
129,5807.98,0.45219,0.30974,0.87652,0.99056,0.95557,0.97723,0.91357,0.37781,0.22899,0.83338,8.16352e-05,8.16352e-05,8.16352e-05
130,5852.33,0.45382,0.31052,0.8789,0.99117,0.95461,0.97734,0.91476,0.37602,0.22847,0.83213,7.81636e-05,7.81636e-05,7.81636e-05
131,5896.88,0.44964,0.30741,0.87613,0.99128,0.95481,0.97721,0.91544,0.3748,0.22716,0.83147,7.4692e-05,7.4692e-05,7.4692e-05
132,5940.97,0.44728,0.30615,0.87576,0.99213,0.95373,0.97747,0.91514,0.37467,0.22725,0.83119,7.12204e-05,7.12204e-05,7.12204e-05
133,5986.54,0.44956,0.30678,0.87626,0.99406,0.95397,0.97782,0.91715,0.37034,0.22645,0.83089,6.77488e-05,6.77488e-05,6.77488e-05
134,6031.45,0.44853,0.30668,0.87711,0.99315,0.95425,0.97808,0.91541,0.37737,0.22828,0.83136,6.42772e-05,6.42772e-05,6.42772e-05
135,6075.49,0.44779,0.30421,0.87596,0.99326,0.95461,0.97773,0.91507,0.37364,0.22663,0.83053,6.08056e-05,6.08056e-05,6.08056e-05
136,6119.91,0.44821,0.30856,0.87589,0.99229,0.95642,0.97809,0.91516,0.37348,0.22543,0.83111,5.7334e-05,5.7334e-05,5.7334e-05
137,6162.99,0.44856,0.30666,0.87634,0.99371,0.95296,0.9782,0.91602,0.37189,0.22659,0.83223,5.38624e-05,5.38624e-05,5.38624e-05
138,6207.03,0.44186,0.30237,0.87362,0.99243,0.95438,0.97848,0.91469,0.37426,0.2252,0.83263,5.03908e-05,5.03908e-05,5.03908e-05
139,6251.62,0.44305,0.30135,0.87494,0.99316,0.95522,0.9786,0.91358,0.38131,0.22865,0.83529,4.69192e-05,4.69192e-05,4.69192e-05
140,6297.86,0.44065,0.30102,0.8749,0.99057,0.95777,0.97865,0.91589,0.37215,0.22507,0.83254,4.34476e-05,4.34476e-05,4.34476e-05
141,6354.7,0.40863,0.26929,0.84523,0.98828,0.95592,0.97747,0.9156,0.37958,0.23428,0.83244,3.9976e-05,3.9976e-05,3.9976e-05
142,6396.91,0.37881,0.24286,0.83446,0.99056,0.95397,0.97771,0.91442,0.3756,0.22938,0.8322,3.65044e-05,3.65044e-05,3.65044e-05
143,6439.85,0.37217,0.23904,0.83281,0.98972,0.95424,0.9783,0.91431,0.37298,0.22618,0.83161,3.30328e-05,3.30328e-05,3.30328e-05
144,6483.04,0.36984,0.2362,0.83181,0.98995,0.95433,0.97847,0.91474,0.37024,0.2251,0.83137,2.95612e-05,2.95612e-05,2.95612e-05
145,6525.64,0.36691,0.23645,0.83076,0.99322,0.95264,0.97858,0.91617,0.36822,0.22413,0.83115,2.60896e-05,2.60896e-05,2.60896e-05
146,6568.14,0.36689,0.23482,0.83162,0.99039,0.95502,0.97868,0.91607,0.36677,0.224,0.83076,2.2618e-05,2.2618e-05,2.2618e-05
147,6612.81,0.36515,0.23468,0.83059,0.99319,0.95265,0.97879,0.91653,0.36619,0.22295,0.83097,1.91464e-05,1.91464e-05,1.91464e-05
148,6655.53,0.36379,0.23351,0.83036,0.99404,0.95233,0.9791,0.91695,0.36659,0.22282,0.83114,1.56748e-05,1.56748e-05,1.56748e-05
149,6698.34,0.36176,0.23283,0.83196,0.99399,0.95293,0.97911,0.91711,0.36589,0.22174,0.83069,1.22032e-05,1.22032e-05,1.22032e-05
150,6740.81,0.3611,0.23067,0.83039,0.99399,0.95301,0.97941,0.91743,0.36546,0.22209,0.83034,8.7316e-06,8.7316e-06,8.7316e-06
